Sentence,Emotion
Old Mr. Bouncer coughed and laughed; and Tommy Brock puffed and grinned.,4
"And Mr. Bouncer laughed and coughed, and shut his eyes because of the cabbage smoke ..........",4
"He was in disgrace; Flopsy wrung her ears, and slapped him.",2
"What a nasty person!"" said Peter.",2
"He had nodded, and pointed to the sack, and seemed doubled up with laughing.--""Come away, Peter; he will be cooking them; come quicker!"" said Benjamin Bunny.",3
"When they came near the wood at the top of Bull Banks, they went cautiously.",3
"The rabbits crept up carefully, listening and peeping.",3
The rabbits shivered in their shoes.,3
The young family were alive; shut up in the oven!,7
"Benjamin was so excited that it was a mercy he did not awake Tommy Brock, whose snores continued solemnly in Mr. Tod's bed.",4
Then those two rabbits lost their heads completely.,3
"Mr. Tod was coming up Bull Banks, and he was in the very worst of tempers.",2
First he had been upset by breaking the plate.,2
Mr. Tod had had an unsatisfactory night.,2
He made his way up the hill; his temper was not improved by noticing unmistakable marks of badger.,2
Mr. Tod slapped his stick upon the earth and fumed; he guessed where Tommy Brock had gone to.,2
He was further annoyed by the jay bird which followed him persistently.,2
The sight that met Mr. Tod's eyes in Mr. Tod's kitchen made Mr. Tod furious.,2
His whiskers bristled and his coat collar stood on end with rage.,2
"When he was outside the house, he scratched up the earth with fury.",2
"The moment he had gone, Tommy Brock got up in a hurry; he rolled Mr. Tod's dressing-gown into a bundle, put it into the bed beneath the pail of water instead of himself, and left the room also-- grinning immensely.",4
"At last the rope gave way with such a sudden jerk that it nearly pulled his teeth out, and quite knocked him over backwards.",7
He was quite dry himself and grinning; and he threw the cup of scalding tea all over Mr. Tod.,4
"Then Mr. Tod rushed upon Tommy Brock, and Tommy Brock grappled with Mr. Tod amongst the broken crockery, and there was a terrific battle all over the kitchen.",2
"They crept out of their tunnel, and hung about amongst the rocks and bushes, listening anxiously.",3
The rabbit babies in the oven woke up trembling; perhaps it was fortunate they were shut up inside.,3
But Benjamin was frightened--,3
"""Oh; oh! they are coming back!""",3
"After quarreling at supper, Flopsy and old Mr. Bouncer had passed a sleepless night, and quarrelled again at breakfast.",2
"In Mr. Tod's kitchen, amidst the wreckage, Benjamin Bunny picked his way to the oven nervously, through a thick cloud of dust.",3
Great was old Mr. Bouncer's relief and Flopsy's joy when Peter and Benjamin arrived in triumph with the young family.,4
"But round the end of a cucumber frame, whom should he meet but Mr. McGregor!",7
"Peter was most dreadfully frightened; he rushed all over the garden, for he had forgotten the way back to the gate.",3
"Peter gave himself up for lost, and shed big tears; but his sobs were overheard by some friendly sparrows, who flew to him in great excitement, and implored him to exert himself.",6
"Peter sat down to rest; he was out of breath and trembling with fright, and he had not the least idea which way to go.",3
Peter began to cry.,6
"The eight little pigs had very fine appetites--""Yus, yus, yus! they eat and indeed they DO eat!"" said Aunt Pettitoes, looking at her family with pride.",4
Suddenly there were fearful squeals; Alexander had squeezed inside the hoops of the pig trough and stuck.,3
"Aunt Pettitoes wiped her eyes with a large pocket handkerchief, then she wiped Pigling Bland's nose and shed tears; then she wiped Alexander's nose and shed tears; then she passed the handkerchief to Spot.",6
"Aunt Pettitoes sighed and grunted, and addressed those little pigs as follows--",6
"Pigling Bland who was a sedate little pig, looked solemnly at his mother, a tear trickled down his cheek.",6
Alexander went into squeals of laughter.,4
Pigling Bland reproved Alexander.,2
"But presently they made it up again, and trotted away together, singing--",4
"Pigling Bland was shocked, there was little hope of sleeping in Market Town, and tomorrow was the hiring fair; it was deplorable to think how much time had been wasted by the frivolity of Alexander.",7
"Pigling Bland became frightened and cried ""Wee, wee, wee!",3
"I can't find my way home!""",3
"He saw a small wooden hut, made his way to it, and crept inside --""I am afraid it IS a hen house, but what can I do?"" said Pigling Bland, wet and cold and quite tired out.",6
"""Trap, trap, trap! cackle, cackle, cackle!"" scolded the disturbed cockerel.",2
"Pigling Bland, much alarmed, determined to leave at daybreak.",3
A perfectly lovely little black Berkshire pig stood smiling beside him.,4
Pig-wig looked anxious.,3
"""I thought you had eaten them?"" said Pigling, waking suddenly.",7
"I have tooth- ache,"" said Pigling much dismayed.",6
He was afraid to go to sleep himself; for the rest of the night he sat listening to the chirping of the crickets and to the snores of Mr. Piperson overhead.,3
"She dropped Pigling's hand and commenced to dance, singing-- presently.",4
Pigling Bland refused quite crossly.,2
"And in sight of the bridge!"" said poor Pigling, nearly crying.",3
"They came to the river, they came to the bridge--they crossed it hand in hand--then over the hills and far away she danced with Pigling Bland!",4
"They had a large family, and they were very improvident and cheerful.",4
The little Flopsy Bunnies slept delightfully in the warm sun.,4
The little rabbits smiled sweetly in their sleep under the shower of grass; they did not awake because the lettuces had been so soporific.,4
What's that?,7
When she felt the vegetables she became very very angry.,2
And Mr. McGregor was very angry too.,2
"Timmy coughed and groaned, because his ribs hurted him.",6
It laughed and chuckled when it heard Timmy's story.,4
"My wife will be anxious!""",3
"Chippy Hackee was not too fat, but he did not want to come; he stayed down below and chuckled.",4
Chippy Hackee went home in a hurry!,3
They had very small eyes and looked surprised.,7
Mittens laughed so that she fell off the wall.,4
"""It's a very fine morning!"" said Mr. Drake Puddle-duck.",4
"She pulled them off the wall, smacked them, and took them back to the house.",2
"""My friends will arrive in a minute, and you are not fit to be seen; I am affronted,"" said Mrs. Tabitha Twitchit.",2
Tom Thumb and Hunca Munca went cautiously across the hearthrug.,3
Then they squeaked with joy!,4
Then Tom Thumb lost his temper.,2
Then there was no end to the rage and disappointment of Tom Thumb and Hunca Munca.,2
"It became a splendid flower-garden to the sick boy, and his little treasure upon earth.",4
"The flower entwined itself even in his dreams- for him it bloomed, for him spread its perfume.",4
"And it gladdened his eyes, and to the flower he turned, even in death, when the Lord called him.",4
"During that time the flower has stood in the window, withered and forgotten, till at length cast out among the sweepings into the street, on the day of the lodgers' removal.",6
"Then the child opened his eyes and looked into the glorious happy face of the angel, and at the same moment they found themselves in that heavenly home where all is happiness and joy.",4
"Then it joined in the song of the angels, who surrounded the throne, some near, and others in a distant circle, but all equally happy.",4
"They all joined in the chorus of praise, both great and small,- the good, happy child, and the poor field-flower, that once lay withered and cast away on a heap of rubbish in a narrow, dark street.",4
"Then he would cry, but what nobody knows nobody cares for; so he would cry till he was tired, and then fall asleep; and while we are asleep we can feel neither hunger nor thirst.",6
"Her beautiful, noble child had been a dear angel, and possessed the kindest heart; he had loved her so much, and she had loved him in return; they had kissed and loved each other, and the boy had been her joy, her second life.",4
"Anne Lisbeth went forth from the castle into the public road, feeling mournful and sad; he whom she had nursed day and night, and even now carried about in her dreams, had been cold and strange, and had not a word or thought respecting her.",6
"She felt very low-spirited, because her count-child had shown no inclination to speak to her who loved him so well, and who had travelled so far to see him.",6
"Only tangled grass, and yet she was frightened at it.",3
"As these thoughts passed through her mind, fear gave speed to her feet, so that she walked faster and faster.",3
"Fear came upon her as if a cold, clammy hand had been laid upon her heart, so that she almost fainted.",3
"It was the first hour of her awakening, full of anguish and horror.",3
Superstition made her alternately shudder with cold or burn with the heat of fever.,3
"""A grave! dig me a grave!"" still sounded in her ears; she was fearful that the cock might crow, and the first red streak appear in the east, before she had finished her work; and then she would be lost.",3
"""Now I am in the house of God,"" she said, ""and in that house we are happy.""",4
"""A difference!"" cried the sunbeam, as he kissed the blooming apple-branch, and then kissed the yellow dandelion out in the fields.",7
"There came presently across the fields a whole group of children, the youngest of whom was so small that it had to be carried by the others; and when he was seated on the grass, among the yellow flowers, he laughed aloud with joy, kicked out his little legs, rolled about, plucked the yellow flowers, and kissed them in childlike innocence.",4
"But inside the church the pastor stood in the pulpit, and spoke very loudly and angrily.",2
"He spoke very excitedly, saying that their evil propensities would not be destroyed, nor would the fire be extinguished, and they should never find rest.",2
"It was dreadful to hear all that, for the preacher spoke from his heart, and all the people in the church were terrified.",3
"And the blood rose to the head of the excited criminal; he threw himself upon his comrade, and beat him with his clenced fist in the face.",2
"The pastor's hand trembled; he dared not stretch it out, he did not venture to pull a hair out of the sinner's head.",3
"Mr. Alfred again spoke of Italy, and of the glorious colors in Italian scenery; the purple hills, the deep blue of the Mediterranean, the azure of southern skies, whose brightness and glory could only be surpassed in the north by the deep-blue eyes of a maiden; and he said this with a peculiar intonation; but she who should have understood his meaning looked quite unconscious of it, which also was charming.",4
"The young man felt the truth of the proverb, ""Still waters run deep:"" and his heart had sunk into their depths.",4
"""Good heavens!"" she exclaimed.",7
"He placed a pencil sketch on the table; and mamma, who had been over-powered with the appearance of the colored plates, threw a glance at the pale drawing and cried in astonishment, ""What, did you see it throw up white fire?""",7
"The betrothed pair were very happy, and the mother was happy too.",4
"""There is no real pleasure in travelling,"" said mamma; ""to tell the truth, it's very wearisome; I beg pardon for saying so.",2
"I was soon very tired of it, although I had my children with me; and, besides, it's very expensive work travelling, very expensive.",2
"And all those galleries one is expected to see, and the quantity of things you are obliged to run after!",2
"It must be done, for very shame; you are sure to be asked when you come back if you have seen everything, and will most likely be told that you've omitted to see what was best worth seeing of all.",2
"I got tired at last of those endless Madonnas; I began to think I was turning into a Madonna myself.""",2
"""Yes, indeed,"" she replied, ""no such a thing as a respectable meat soup- their cookery is miserable stuff.""",2
"Alfred wept, and mamma wept, and they both wore mourning.",6
"She had also to experience another grief in seeing Alfred marry again, marry Sophy, who was nothing at all to look at.",6
"""He's gone to the very extreme,"" said mamma-in-law; ""he has gone from the most beautiful to the ugliest, and he has forgotten his first wife.",2
"""'Pygmalion loved his Galatea,' was in the song they sung at my first wedding,"" said Alfred; ""I once fell in love with a beautiful statue, which awoke to life in my arms; but the kindred soul, which is a gift from heaven, the angel who can feel and sympathize with and elevate us, I have not found and won till now.",4
"""Understand!",7
"""How beautiful this world is!"" said the caterpillar.",4
"""The sun is so warm, I quite enjoy it.",4
"""Wonderful weather this,"" cried one of them, ""and so refreshing.",4
"What happiness for a mother!""",4
"How charming this is for a mother, is it not Mr. Beetle?"" for she knew the stranger by his horny coat.",4
"""Certainly,"" said the beetle, ""I shall be most happy; I have been exposed to the rain, and have had to lie upon linen, and cleanliness is a thing that greatly exhausts me; I have also pains in one of my wings from standing in the draught under a piece of broken crockery.",4
"The mother gave them her blessing, and all the other beetles cried ""hurrah.""",4
"""Fie on the villain that forsook her!""",2
"""What a wonderful quantity of plants,"" cried the beetle; ""how good they will taste when they are decayed!",4
"""You speak without knowing the facts,"" replied the beetle; ""don't you see that I am a prisoner?""",2
This vexes me more than anything.,2
"""Oh, what a splendour!""",4
"And they ran towards each other and took one another's hand, in the great cathedral of nature and poesy, and above them sounded the invisible holy bell; happy spirits surrounded them, singing hallelujahs and rejoicing.",4
Let her be expelled from the congregation and the Church.,2
"""Thou child of perdition, I will yet carry out my purpose!"" cried the Bishop of Borglum.",2
"He seized her hand, he embraced her, and the mother wept.",4
"""Safe return, and a wedding this day next year,"" he cried; and when the glasses were empty he took the bottle, raised it on high, and said, ""Thou hast been present here on the happiest day of my life; thou shalt never be used by others!""",4
"Those were happy days, and the bottle would sing when rubbed with a cork, and it was called a great lark,"" ""Peter Jensen's lark.""",4
"For very joy, it felt ready to jump out of people's hands, and scarcely noticed that its cork had been drawn, and its contents emptied out, till it found itself carried to a cellar, to be left there and forgotten.",4
"""There's no place like home, even if it's a cellar.""",4
"The rabbit was quite excited because he knew that he was to be taken up, and let down again in a parachute.",4
"Then they hung it in the cage of the little bird, who sang and twittered more merrily than ever.",4
"But the buckwheat spread itself out with pride, and said, ""Stupid tree; he is so old that grass grows out of his body.""",2
"""Bend your head as we do,"" cried the ears of corn; ""the angel of the storm is coming; his wings spread from the sky above to the earth beneath.",3
"He will strike you down before you can cry for mercy.""",3
"The branches of the old willow-tree rustled in the wind, and large water-drops fell from his green leaves as if the old willow were weeping.",6
But Marguerite did not answer him; she was offended that he should call her a woman when she was only a girl; and there is a great difference.,2
"The pea-blossom pleased him most of all; she was white and red, graceful and slender, and belonged to those domestic maidens who have a pretty appearance, and can yet be useful in the kitchen.",4
"""Oh, indeed; and you will be like her some day,"" said he; and he flew away directly, for he felt quite shocked.",7
"""I will take her,"" said the butterfly; and he made her an offer.",4
"""It is not very pleasant, certainly; I should imagine it is something like being married; for here I am stuck fast.""",6
As if these things were of any consequence!,7
"Who would trouble themselves about such trifles? especially at a comedy, where every one is expected to be amused.",7
"The sisters mourned as young hearts can mourn, and were especially grieved at the sight of their parents' sorrow.",6
"The father's heart was bowed down, but the mother sunk completely under the deep grief.",6
"She thought God could not take her darling little one from her; and when it did happen notwithstanding her hopes and her belief, and there could be no more doubt on the subject, she said in her feverish agony, ""God does not know it.",6
"But these doubts were no support to her, nothing on which she could rest, and she sunk into the fathomless depths of despair.",6
"The tears of her husband fell on her forehead, but she took no notice of him; her thoughts were with her dead child; her whole existence seemed wrapped up in the remembrances of the little one and of every innocent word it had uttered.",6
"When she awoke, and wanted to see her child, the husband, with tears, said, ""We have closed the coffin; it was necessary to do so.""",6
"""When God is so hard to me, how can I expect men to be better?"" she said with groans and tears.",6
"With tearful eyes and mournful glances, the sorrowing daughters and the afflicted husband looked upon her who would not hear their words of comfort; and, indeed, what comforting words could they speak, when they were themselves so full of grief?",6
"As she had sat by his little cot, so now she sat by his grave; and here she could weep freely, and her tears fell upon it.",6
"All this was new and interesting; that is, for the first time, but afterwards, as the weather-cock found out, they repeated themselves and always told the same stories, and that's very tedious, and there was no one with whom one could associate, for one and all were stale and small-minded.",2
"""The world is no good!"" he said.",2
"""Everything in it is so stupid.""",2
"""Everything is very stupid,"" the weather-cock said to himself.",2
Everything is so stupid!,2
"I don't want to sit here any longer.""",2
"How rich I am!""",4
Its joy was so great that it did not know what to think.,4
"The little bird hopped round it and sang, ""How beautifully soft the grass is, and what a lovely little flower with its golden heart and silver dress is growing here.""",4
How happy the daisy was!,4
"""Ugh!"" sighed the daisy, ""that is terrible; now they are done for.""",7
"Indeed the poor bird had good reason to be sad, for it had been caught and put into a cage close by the open window.",6
The poor lark was most unhappy as a prisoner in a cage.,6
"The poor bird was lamenting its lost liberty, and beating its wings against the wires; and the little daisy could not speak or utter a consoling word, much as it would have liked to do so.",6
"Alas! you only remind me of what I have lost.""",6
"The evening came, and nobody appeared to bring the poor bird a drop of water; it opened its beautiful wings, and fluttered about in its anguish; a faint and mournful ""Tweet, tweet,"" was all it could utter, then it bent its little head towards the flower, and its heart broke for want and longing.",6
"The flower could not, as on the previous evening, fold up its petals and sleep; it dropped sorrowfully.",6
"The boys only came the next morning; when they saw the dead bird, they began to cry bitterly, dug a nice grave for it, and adorned it with flowers.",6
"And there she sat as proudly as if she were in a state coach, and looked all around her.",4
"Had I still my old eye, which was broken off, I believe I should weep; but no, I would not do that, it is not genteel to cry.""",6
"""Good heavens, how it crushes!"" said the darning-needle.",7
"""Thus the small service done to the old man was richly rewarded!"" said Meta Mogen.",4
"In the garden grow roses; the mistress of the house is herself the finest rose petal, she beams with joy, the joy of good deeds: however, not done in the wide world, but in her heart, and what is preserved there is not forgotten.",4
"The paralysed girl sits in the warm sunshine and can see the wood and the lake; the world had become so large, so beautiful, and only through a single word from the kind mistress of the mansion.",4
"""The word was so easy, the deed so small,"" she said, ""the joy it afforded me was infinitely great and sweet!""",4
"A week has passed; this morning his death was in the newspaper, that is the reason of the girl's mourning!",6
"The black bow signifies mourning, the girl's face points to the same in a still higher degree; it is preserved in the heart and will never be forgotten.",6
"And they hacked away at him, and they pulled at him, and ate him up, because of the little bruise.",2
"""It's a drop of puddle water!"" said Kribble-Krabble.",7
"I declare you have put on your Sunday clothes!""",7
"""My word!",7
"Here I come!"" shouted Jack the Dullard, and he sang till his voice echoed far and wide.",4
"""Hurrah! it is quite famous.""",4
"""Oh,"" said Jack the Dullard, ""I can hardly tell you.",4
"Then the Princess would say, ""He is of no use!",2
"Away with him out of the hall!""",2
"""He is of no use!"" said the Princess.",2
"""Away with him!""",2
"""Away with him!""",2
"""Ah, that's lucky!"" exclaimed Jack the Dullard, ""for I suppose you'll let me roast my crow at the same time?""",4
"""With the greatest pleasure,"" said the Princess.",4
"""I like that!"" said the Princess.",4
"But she only said this to frighten Jack the Dullard; and the clerks gave a great crow of delight, and each one spurted a blot out of his pen on to the floor.",4
"""They say that he was once an energetic young man, that he studied the dead languages, and sang and even composed many songs; then something had happened to him, and in consequence of this he gave himself up to drink, body and mind.",6
"But when we succeeded in bringing him home, and prevailed upon him to open the book with the dried-up plants in it, he would sometimes sit for a whole day looking at this or that plant, while frequently the tears rolled over his cheeks.",6
"""What a buzzing and a rumbling there is in the elfin hill,"" said one of the lizards; ""I have not been able to close my eyes for two nights on account of the noise; I might just as well have had the toothache, for that always keeps me awake.""",2
"""Feet off the table-cloth!"" said the old goblin.",2
"""Stop!"" cried the old goblin,"" is that the only house-keeping they can perform?",2
"""Ho! ho!"" said the old goblin, ""is that what she means?",7
"So she took him by the wrist, and he laughed till he nearly choked; and when she came to the fourth finger, there was a gold ring on it, as if it knew there was to be a betrothal.",4
How merry we shall be!,4
"But the lizards continued to run up and down the riven tree; and one said to the other, ""Oh, how much I was pleased with the old goblin!""",4
"And then they kissed each other, and the girl wept, and gave him a rose; but before she did so, she pressed a kiss upon it so fervently that the flower opened.",6
"Oh, what bitter tears she shed! and she could not open her heart to any one for relief.",6
"Oh, how she wept and prayed that she also might die!",6
"Every morning he flew to the window of the poor girl, and always found her weeping by the flower pot.",6
"The bitter tears fell upon the jasmine twig, and each day, as she became paler and paler, the sprig appeared to grow greener and fresher.",6
"""Heaven preserve us!"" he thought, and opened his eyes wide, ""I cannot see anything at all,"" but he did not say so.",7
"""We are pleased to hear that,"" said the two weavers, and described to him the colours and explained the curious pattern.",4
"""Good heavens! listen to the voice of an innocent child,"" said the father, and one whispered to the other what the child had said.",7
"FAR down in the forest, where the warm sun and the fresh air made a sweet resting-place, grew a pretty little fir-tree; and yet it was not happy, it wished so much to be tall like its companions- the pines and firs which grew around it.",6
"As the axe cut through the stem, and divided the pith, the tree fell with a groan to the earth, conscious of pain and faintness, and forgetting all its anticipations of happiness, in sorrow at leaving its home in the forest.",6
How the fir-tree trembled!,3
"It trembled so with joy in all its branches, that one of the candles fell among the green leaves and burnt some of them.",4
"""Help! help!"" exclaimed the young ladies, but there was no danger, for they quickly extinguished the fire.",7
"For a moment the little ones stood silent with astonishment, and then they shouted for joy, till the room rang, and they danced merrily round the tree, while one present after another was taken from it.",4
"And then the tree related the whole story; he could remember every single word, and the little mice was so delighted with it, that they were ready to jump to the top of the tree.",4
"""Now life is beginning again,"" said the tree, rejoicing in the sunshine and fresh air.",4
"The pieces were placed in a fire under the copper, and they quickly blazed up brightly, while the tree sighed so deeply that each sigh was like a pistol-shot.",6
"How fortunate I am; it makes me so happy, it is such a pleasant thing to know that something can be made of me.",4
"How the sunshine cheers me, and how sweet and refreshing is the rain; my happiness overpowers me, no one in the world can feel happier than I am.""",4
"I am the happiest of all creatures.""",4
"Well, one day some people came, who took hold of the flax, and pulled it up by the roots; this was painful; then it was laid in water as if they intended to drown it; and, after that, placed near a fire as if it were to be roasted; all this was very shocking.",7
"""Well, this is quite wonderful; I could not have believed that I should be so favored by fortune.",4
"How wonderful it is, that after all I have suffered, I am made something of at last; I am the luckiest person in the world- so strong and fine; and how white, and what a length!",4
"I cannot be happier than I am now.""",4
This was my destiny; it is quite a blessing.,4
"Now I shall be of some use in the world, as everyone ought to be; it is the only way to be happy.",4
"I am happier than ever.""",4
"""Ugh,"" cried the paper, as it burst into a bright flame; ""ugh.""",7
"Whenever the sun shone, we felt his warm rays, and the little birds would relate stories to us as they sung.",4
"""'That is quite true,' said the water-bucket; and he made a spring with joy, and splashed some water on the floor.",4
"""The plates rattled with pleasure, and the carpet-broom brought some green parsley out of the dust-hole and crowned the saucepan, for he knew it would vex the others; and he thought, 'If I crown him to-day he will crown me to-morrow.'",4
"The street boys stood on tiptoe and shouted ""hurrah,"" and whistled between their fingers; altogether it was a very splendid affair.",4
"Then I would clench my fist, and cry, ""We will kill these Turks!""",2
"I saw my poor dead father, and cried till I fell asleep.",6
"""Sorry!"" he exclaimed, and his voice was troubled with a grief as deep as my own.",6
But the goblin felt very angry that any man should venture to say such things to a huckster who was a householder and sold the best butter.,2
"""My golden treasure, my riches, my sunshine!"" said the mother; and she kissed the shining locks, and it sounded like music and song in the room of the drummer; and there was joy, and life, and movement.",4
"She folded her hands, and hid her face in the cotton curtains of the bed, and wept.",6
They laughed and they wept; and Peter embraced the old Fire-drum.,4
"""Good Heaven! what's the matter with you?"" asked his mother.",7
"""Nothing, nothing; only leave me to myself,"" he answered but the tears were running down his cheeks.",6
"""My sweet child, my golden treasure!"" cried the mother, and she wept; but the Fire-drum sang, not out loud, but inwardly.",6
"His eyes were as clear and his face was as radiant as sunshine; and he held his mother in his arms, and she kissed his mouth, and wept as blissfully as any one can weep for joy; and he nodded at every old piece of furniture in the room, at the cupboard with the tea-cups, and at the flower-vase.",4
The counsellor stared with astonishment as he beheld a most strange procession pass before him.,7
"""Good gracious!"" he exclaimed; ""what in the world has happened to the bishop? what can he be thinking about?""",7
"""I don't understand your outlandish talk,"" he cried at last, angrily turning his back upon them.",2
"""Goodness me! where am I?"" said he.",7
It bewildered him as he thought of it.,7
"""Yes, this is East Street; how beautifully bright and gay it looks!",4
"It is quite shocking that one glass of punch should have upset me like this.""",7
"The lieutenant felt this very keenly, and therefore leaned his head against the window-frame, and sighed deeply.",6
"""There goes one!"" cried he.",7
"He declared, when he quite recovered himself, that this had been the most dreadful night he had ever passed; not for a hundred pounds would he go through such feelings again.",3
"He started back, quite bewildered with the fright which the goloshes of Fortune had caused him.",7
"""Good gracious!"" he sighed, ""I must have a tendency to softening of the brain, and here it is so exceedingly hot that the blood is rushing to my head.""",7
"It is overpowering, and yet it is delightful.""",4
"As the clerk thought of all these things, and became conscious of the great change in his own feelings, he smiled, and said to himself, ""I must be asleep and dreaming; and yet, if so, how wonderful for a dream to be so natural and real, and to know at the same time too that it is but a dream.",4
