,Sentence,Emotion
132,"Pigling Bland was shocked, there was little hope of sleeping in Market Town, and tomorrow was the hiring fair; it was deplorable to think how much time had been wasted by the frivolity of Alexander.",7
133,"Pigling Bland became frightened and cried ""Wee, wee, wee!",3
134,"I can't find my way home!""",3
135,"He saw a small wooden hut, made his way to it, and crept inside --""I am afraid it IS a hen house, but what can I do?"" said Pigling Bland, wet and cold and quite tired out.",6
136,"""Trap, trap, trap! cackle, cackle, cackle!"" scolded the disturbed cockerel.",2
137,"Pigling Bland, much alarmed, determined to leave at daybreak.",3
138,A perfectly lovely little black Berkshire pig stood smiling beside him.,4
139,Pig-wig looked anxious.,3
140,"""I thought you had eaten them?"" said Pigling, waking suddenly.",7
141,"I have tooth- ache,"" said Pigling much dismayed.",6
142,He was afraid to go to sleep himself; for the rest of the night he sat listening to the chirping of the crickets and to the snores of Mr. Piperson overhead.,3
143,"She dropped Pigling's hand and commenced to dance, singing-- presently.",4
144,Pigling Bland refused quite crossly.,2
145,"And in sight of the bridge!"" said poor Pigling, nearly crying.",3
146,"They came to the river, they came to the bridge--they crossed it hand in hand--then over the hills and far away she danced with Pigling Bland!",4
147,"They had a large family, and they were very improvident and cheerful.",4
148,The little Flopsy Bunnies slept delightfully in the warm sun.,4
149,The little rabbits smiled sweetly in their sleep under the shower of grass; they did not awake because the lettuces had been so soporific.,4
150,What's that?,7
151,When she felt the vegetables she became very very angry.,2
152,And Mr. McGregor was very angry too.,2
153,"Timmy coughed and groaned, because his ribs hurted him.",6
154,It laughed and chuckled when it heard Timmy's story.,4
155,"My wife will be anxious!""",3
156,"Chippy Hackee was not too fat, but he did not want to come; he stayed down below and chuckled.",4
157,Chippy Hackee went home in a hurry!,3
158,They had very small eyes and looked surprised.,7
159,Mittens laughed so that she fell off the wall.,4
160,"""It's a very fine morning!"" said Mr. Drake Puddle-duck.",4
161,"She pulled them off the wall, smacked them, and took them back to the house.",2
162,"""My friends will arrive in a minute, and you are not fit to be seen; I am affronted,"" said Mrs. Tabitha Twitchit.",2
163,Tom Thumb and Hunca Munca went cautiously across the hearthrug.,3
164,Then they squeaked with joy!,4
165,Then Tom Thumb lost his temper.,2
166,Then there was no end to the rage and disappointment of Tom Thumb and Hunca Munca.,2
